NUCLEOS	SOLOSIS
KAIMORSE	WALREIN
TYGNON	HITMONCHAN
MASKADRA	MASQUERAIN
LAMPEROIE	EELEKTRIK
GERMIGNON	CHIKORITA
SCRUTELLA	GOTHITA
MONORPALE	HONEDGE
DARKRAI	DARKRAI
OPERMINE	BINACLE
HO_OH	HO_OH
MAMMOCHON	MAMOSWINE
CREHELF	UXIE
DRACO	DRAGONAIR
PHYLLALI	LEAFEON
LAINERGIE	FLAAFFY
AEROPTERYX	ARCHEOPS
TYRANOCIF	TYRANITAR
KRAKNOIX	TRAPINCH
SONISTRELLE	NOIBAT
TEDDIURSA	TEDDIURSA
HEXAGEL	CRYOGONAL
PSYSTIGRI	ESPURR
CELEBI	CELEBI
CREFADET	AZELF
ZARBI	UNOWN
TENTACRUEL	TENTACRUEL
MACRONIUM	BAYLEEF
EMOLGA	EMOLGA
FERMITE	DURANT
MEGAPAGOS	CARRACOSTA
BOULDENEU	TANGROWTH
VORTENTE	CARNIVINE
ASPICOT	WEEDLE
DRABY	BAGON
KAORINE	CLAYDOL
REXILLIUS	TYRANTRUM
CARVANHA	CARVANHA
FLOETTE	FLOETTE
SOLAROC	SOLROCK
GOELISE	WINGULL
ECTOPLASMA	GENGAR
VIGOROTH	VIGOROTH
COBALTIUM	COBALION
KICKLEE	HITMONLEE
ARCHEOMIRE	BRONZOR
ECREMEUH	MILTANK
ROTOTAUPE	DRILBUR
PARAS	PARAS
MELOKRIK	KRICKETUNE
BASTIODON	BASTIODON
LIMONDE	STUNFISK
VIVALDAIM	DEERLING
POISSOROY	SEAKING
HELIONCEAU	LITLEO
PITROUILLE	PUMPKABOO
LIANAJA	SERVINE
ABRA	ABRA
TROUSSELIN	KLEFKI
DOUDOUVET	COTTONEE
GARDEVOIR	GARDEVOIR
POMDEPIK	PINECO
CABRIOLAINE	SKIDDO
ROIGADA	SLOWKING
PYRONILLE	LARVESTA
LAGGRON	SWAMPERT
BATRACNE	PALPITOAD
MAGICARPE	MAGIKARP
CAPUMAIN	AIPOM
PHOGLEUR	SEALEO
LARVEYETTE	SEWADDLE
BEKIPAN	PELIPPER
YVELTAL	YVELTAL
PTITARD	POLIWAG
POISSIRENE	GOLDEEN
BRANETTE	BANETTE
CHENITI	BURMY
ONIGLALI	GLALIE
AQUALI	VAPOREON
KYOGRE	KYOGRE
METAMORPH	DITTO
PAPINOX	DUSTOX
AVALTOUT	SWALOT
GIVRALI	GLACEON
GOUPELIN	DELPHOX
LOVDISC	LUVDISC
MAKUHITA	MAKUHITA
MINOTAUPE	EXCADRILL
MUNJA	SHEDINJA
GRODOUDOU	WIGGLYTUFF
OUVRIFIER	GURDURR
ORTIDE	GLOOM
GRAINIPIOT	SEEDOT
CANINOS	GROWLITHE
GOUPIX	VULPIX
LUXIO	LUXIO
MEDITIKKA	MEDITITE
MILOBELLUS	MILOTIC
QUEULORIOR	SMEARGLE
COUANETON	DUCKLETT
ROUCARNAGE	PIDGEOT
NOADKOKO	EXEGGUTOR
SCALPION	PAWNIARD
RHINOLOVE	SWOOBAT
GRUIKUI	TEPIG
PTYRANIDUR	TYRUNT
GRELACON	BERGMITE
ONIX	ONIX
LUDICOLO	LUDICOLO
BLIZZI	SNOVER
LEOPARDUS	LIEPARD
CHRYSACIER	METAPOD
BOREAS	TORNADUS
VOLTORBE	VOLTORB
PIAFABEC	SPEAROW
CROCRODIL	CROCONAW
INCISACHE	FRAXURE
ABO	EKANS
MAGANON	MAGMORTAR
AXOLOTO	WOOPER
STARI	STARYU
TADMORV	GRIMER
TIPLOUF	PIPLUP
APIREINE	VESPIQUEN
GAMBLAST	CLAWITZER
CHLOROBULE	PETILIL
DONPHAN	DONPHAN
CROAPORAL	FROGADIER
CHINCHIDOU	MINCCINO
PASSEROUGE	FLETCHLING
ROUSSIL	BRAIXEN
ROSABYSS	GOREBYSS
ROUCOUPS	PIDGEOTTO
VENALGUE	SKRELP
BLINDEPIQUE	CHESNAUGHT
POSIPI	PLUSLE
BAUDRIVE	DRIFLOON
KARACLEE	SAWK
ALIGATUEUR	FERALIGATR
ESCARGAUME	SHELMET
RAPASDEPIC	FEAROW
GRODRIVE	DRIFBLIM
SEPIATOP	INKAY
VENIPATTE	VENIPEDE
JOLIFLOR	BELLOSSOM
CRABARAQUE	CRUSTLE
ROZBOUTON	BUDEW
GRAHYENA	MIGHTYENA
FLORAVOL	SKIPLOOM
MIMIGAL	SPINARAK
ANCHWATT	TYNAMO
CADOIZO	DELIBIRD
BALBUTO	BALTOY
SIDERELLA	GOTHITELLE
TENEFIX	SABLEYE
PYROLI	FLAREON
MIAMIASME	TRUBBISH
SNUBBULL	SNUBBULL
WATTOUAT	MAREEP
HYPOTREMPE	HORSEA
MOUSTILLON	OSHAWOTT
TIC	KLINK
GOINFREX	MUNCHLAX
CRABICOQUE	DWEBBLE
GRENOUSSE	FROAKIE
ARAKDO	SURSKIT
PYRAX	VOLCARONA
NOCTALI	UMBREON
MASCAIMAN	SANDILE
PERSIAN	PERSIAN
SCORPLANE	GLIGAR
TARTARD	POLIWRATH
FARFURET	SNEASEL
PHANPY	PHANPY
NATU	NATU
TOGETIC	TOGETIC
MOTISMA	ROTOM
MUNNA	MUNNA
OSSELAIT	CUBONE
KEUNOTOR	BIDOOF
COCHIGNON	PILOSWINE
TOUDOUDOU	IGGLYBUFF
GRINDUR	FERROSEED
KRANIDOS	CRANIDOS
DRACKHAUS	SHELGON
ELEKABLE	ELECTIVIRE
CORNEBRE	MURKROW
JIRACHI	JIRACHI
ZEBIBRON	BLITZLE
ESCROCO	KROKOROK
KECLEON	KECLEON
ETOURAPTOR	STARAPTOR
PACHIRISU	PACHIRISU
RONFLEX	SNORLAX
MISTIGRIX	MEOWSTIC
CHENISELLE	WORMADAM
PORYGON	PORYGON
ZEBLITZ	ZEBSTRIKA
LIXY	SHINX
FLOTAJOU	PANPOUR
GRINGOLEM	GOLETT
ELECSPRINT	MANECTRIC
DESSELIANDE	TREVENANT
SHARPEDO	SHARPEDO
NYMPHALI	SYLVEON
GALEKID	ARON
APITRINI	COMBEE
PEREGRAIN	SPEWPA
MIASMAX	GARBODOR
URSARING	URSARING
SCARABRUTE	PINSIR
SORBOUBOUL	VANILLUXE
NANMEOUIE	AUDINO
FEROSINGE	MANKEY
LUGIA	LUGIA
TORTIPOUSS	TURTWIG
ARTIKODIN	ARTICUNO
GRIKNOT	GIBLE
COLHOMARD	CRAWDAUNT
LANTURN	LANTURN
ZEKROM	ZEKROM
MELOFEE	CLEFAIRY
SABELETTE	SANDSHREW
DRAKKARMIN	DRUDDIGON
SAPEREAU	BUNNELBY
MONAFLEMIT	SLAKING
DEFLAISAN	UNFEZANT
CLAMIRAL	SAMUROTT
LAMANTINE	DEWGONG
KABUTO	KABUTO
FEUFOREVE	MISDREAVUS
BETOCHEF	CONKELDURR
KORILLON	CHINGLING
FEUILOUTAN	SIMISAGE
MOUFOUETTE	STUNKY
EXAGIDE	AEGISLASH
CHOVSOURIR	WOOBAT
ZORUA	ZORUA
CHACRIPAN	PURRLOIN
DEMANTA	MANTINE
VACILYS	CRADILY
BRASEGALI	BLAZIKEN
SIMULARBRE	SUDOWOODO
TOGEKISS	TOGEKISS
FEUILLAJOU	PANSAGE
MAGNEZONE	MAGNEZONE
MYSDIBULE	MAWILE
WAILORD	WAILORD
CHENIPOTTE	WURMPLE
NIRONDELLE	TAILLOW
VOSTOURNO	VULLABY
BLINDALYS	CASCOON
MUSTEBOUEE	BUIZEL
TROPIUS	TROPIUS
NINGALE	NINCADA
FLOBIO	MARSHTOMP
SPECTRUM	HAUNTER
CERFROUSSE	STANTLER
STAROSS	STARMIE
RONDOUDOU	JIGGLYPUFF
FLAMAJOU	PANSEAR
FEUNARD	NINETALES
TARINORME	PROBOPASS
AMONITA	OMANYTE
DRASCORE	DRAPION
FURAIGLON	RUFFLET
TOURNEGRIN	SUNKERN
STATITIK	JOLTIK
BALIGNON	SHROOMISH
METANG	METANG
OBALIE	SPHEAL
DEDENNE	DEDENNE
LUGULABRE	CHANDELURE
GROTICHON	PIGNITE
FLAMOUTAN	SIMISEAR
MEWTWO	MEWTWO
BAGGAID	SCRAFTY
BARBICHA	WHISCASH
VOLCANION	VOLCANION
CROCORIBLE	KROOKODILE
RAFFLESIA	VILEPLUME
TYLTON	SWABLU
STEELIX	STEELIX
MINIDRACO	DRATINI
LANCARGOT	ESCAVALIER
PAPILORD	MOTHIM
SPOINK	SPOINK
NOARFANG	NOCTOWL
BARGANTUA	BASCULIN
SABLAIREAU	SANDSLASH
BOGUERISSE	QUILLADIN
FLORGES	FLORGES
LIPPOUTI	SMOOCHUM
CHETIFLOR	BELLSPROUT
RATENTIF	PATRAT
PONCHIEN	HERDIER
GUERIAIGLE	BRAVIARY
SCORVOL	GLISCOR
NINJASK	NINJASK
RHINOFEROS	RHYDON
AFLAMANOIR	HEATMOR
STALGAMIN	SNORUNT
EVOLI	EEVEE
GALEKING	AGGRON
PONYTA	PONYTA
BRUTALIBRE	HAWLUCHA
OUISTICRAM	CHIMCHAR
TUTAFEH	YAMASK
XERNEAS	XERNEAS
VIRIDIUM	VIRIZION
XATU	XATU
DODRIO	DODRIO
GIRATINA	GIRATINA
LEUPHORIE	BLISSEY
CHEVROUM	GOGOAT
GIGALITHE	GIGALITH
NODULITHE	ROGGENROLA
HYPNOMADE	HYPNO
DINOCLIER	SHIELDON
MALOSSE	HOUNDOUR
AZURILL	AZURILL
NOSFERAPTI	ZUBAT
POLICHOMBR	SHUPPET
DELCATTY	DELCATTY
FANTOMINUS	GASTLY
KRAVARECH	DRAGALGE
MAGNETON	MAGNETON
HELEDELLE	SWELLOW
GALIFEU	COMBUSKEN
MYSTHERBE	ODDISH
LINEON	LINOONE
DIAMAT	ZWEILOUS
SERPANG	HUNTAIL
MUSTEFLOTT	FLOATZEL
BLIZZAROI	ABOMASNOW
NIDORAN_M	NIDORAN_M
NIDORAN_F	NIDORAN_F
GENESECT	GENESECT
SPINDA	SPINDA
PTIRAVI	HAPPINY
LUCARIO	LUCARIO
NIDORINA	NIDORINA
MELO	CLEFFA
CERIFLOR	CHERRIM
SALAMECHE	CHARMANDER
AEROMITE	VENOMOTH
LATIOS	LATIOS
EXCAVARENNE	DIGGERSBY
COLOMBEAU	TRANQUILL
RATTATA	RATTATA
FRISON	BOUFFALANT
RHINOCORNE	RHYHORN
NIDORINO	NIDORINO
INSOLOURDO	DUNSPARCE
NOSFERALTO	GOLBAT
AMAGARA	AMAURA
GROTADMORV	MUK
MACHOPEUR	MACHOKE
LAKMECYGNE	SWANNA
RAMOLOSS	SLOWPOKE
TAUROS	TAUROS
GALLAME	GALLADE
LUMINEON	LUMINEON
SIMIABRAZ	INFERNAPE
BARLOCHE	BARBOACH
ECRAPINCE	CORPHISH
CARABAFFE	WARTORTLE
POLAGRIFFE	BEARTIC
MIME_JR	MIME_JR
RAMBOUM	LOUDRED
SHAOFOUINE	MIENSHAO
TRIOXHYDRE	HYDREIGON
FUNECIRE	LITWICK
BARPAU	FEEBAS
AIRMURE	SKARMORY
QWILFISH	QWILFISH
DRAGMARA	AURORUS
ROUCOOL	PIDGEY
SORBEBE	VANILLITE
COLOSSINGE	PRIMEAPE
CHAMALLOT	NUMEL
ALTARIA	ALTARIA
PHARAMP	AMPHAROS
SOLOCHI	DEINO
PIJAKO	CHATOT
SELEROC	LUNATONE
GALEGON	LAIRON
CRIKZIK	KRICKETOT
MIMITOSS	VENONAT
BRUTAPODE	SCOLIPEDE
SUCROQUIN	SWIRLIX
ARCKO	TREECKO
LEVIATOR	GYARADOS
DARDARGNAN	BEEDRILL
SPIRITOMB	SPIRITOMB
MAMANBO	ALOMOMOLA
EMBRYLEX	LARVITAR
HIPPODOCUS	HIPPOWDON
RIOLU	RIOLU
MASSKO	GROVYLE
BOUSTIFLOR	WEEPINBELL
COLIMUCUS	SLIGGOO
GOBOU	MUDKIP
PINGOLEON	EMPOLEON
