DENT_OCEAN	DEEPSEATOOTH
BRAC_MACHO	MACHO_BRACE
LENTIL_ZOOM	ZOOM_LENS
GRELOT_ZEN	SOOTHE_BELL
ROCHE_ROYALE	KING_S_ROCK
BAIE_RATAM	RINDO_BERRY
BULBE	BULB
CARBONE	CARBOS
ORBE_PERLE	LUSTROUS_ORB
PROTECTEUR	PROTECTOR
CROC_RASOIR	RAZOR_FANG
CALCIUM	CALCIUM
CHARBON	CHARCOAL
PIERRE_PLANTE	LEAF_STONE
PIQUANTS	STICKY_BARB
BAIE_GRENA	POMEG_BERRY
HERBE_MENTAL	MENTAL_HERB
BAIE_DURIN	DURIN_BERRY
PLAQUE_HERBE	MEADOW_PLATE
FER	IRON
BAIE_FRAMBY	RAZZ_BERRY
BAIE_RANGMA	MARANGA_BERRY
PLAQUE_CIEL	SKY_PLATE
BAIE_PARMA	WACAN_BERRY
BAIE_ORAN	ORAN_BERRY
PEAU_METAL	METAL_COAT
BAIE_POMMO	ROWAP_BERRY
CASQUE_BRUT	HELMET
LUNET_CHOIX	CHOICE_SPECS
OS_RARE	RARE_BONE
PLAQUE_POING	FIST_PLATE
BALLE_FER	IRON_BALL
MASSE_OS	THICK_CLUB
ECAILLE_DRACO	DRAGON_SCALE
BAIE_EKA	KEE_BERRY
ENCENS_PLEIN	FULL_INCENSE
ELIXIR	ELIXIR
PLAQUE_TOXIC	TOXIC_PLATE
BAIE_SITRUS	SITRUS_BERRY
MULTI_EXP	EXP_SHARE
BAIE_COBABA	COBA_BERRY
BAIE_MAGO	MAGO_BERRY
MODULE_PYRO	BLAZE_CASSETTE
BOUTON_FUITE	RED_BUTTON
FOSSILE_CRANE	SKULL_FOSSIL
BIZAR_ENCENS	ODD_INCENSE
POUDRECLAIRE	BRIGHTPOWDER
BAIE_FRISTA	STARF_BERRY
HUILE_MAX	MAX_ETHER
MASSE_BALL	HEAVY_BALL
POUSS_ETOILE	STARDUST
SUPER_REPOUSSE	SUPER_REPEL
LUNET_NOIRES	BLACKGLASSES
AMELIORATOR	UP_GRADE
GRELOT_COQUE	SHELL_BELL
BAIE_ALGA	KELPSY_BERRY
HERBE_POUV	POWER_HERB
BAIE_LANSAT	LANSAT_BERRY
TISSU_FAUCHE	REAPER_CLOTH
ANTI_PARA	PARALYZE_HEAL
LUNETTES_FILTRE	SAFETY_GOGGLES
PIERRE_AUBE	DAWN_STONE
PERLE	PEARL
EVOLUROC	EVOLUTION_STONE
LUXE_BALL	LUXURY_BALL
BAIE_LONME	HONDEW_BERRY
AIMANT	MAGNET
POIGN_POUV	POWER_BRACER
BALLON	BALLOON
PIERRE_GLACE	ICE_STONE
CHANTIBONBON	WHIPPED_DREAM
ROCHE_ELECTRIQUE	ELECTRIC_ROCK
APPAT_BALL	LURE_BALL
FOSSILE_DOME	DOME_FOSSIL
BAIE_TAMATO	TAMATO_BERRY
ENCENS_DOUX	LAX_INCENSE
FAIBLO_BALL	NEST_BALL
POUDRE_ARG	SILVERPOWDER
FOSSILE_ARMURE	ARMOR_FOSSIL
RESTES	LEFTOVERS
BIS_BALL	REPEAT_BALL
BAIE_MARON	CHESTO_BERRY
ANTIGEL	ICE_HEAL
POTION_MAX	MAX_POTION
BAIE_RESIN	GREPA_BERRY
PP_MAX	PP_MAX
LOUPE	WIDE_LENS
ORBE_TOXIQUE	TOXIK_ORB
SACHET_SENTEUR	SACHET
MASTER_BALL	MASTER_BALL
BAND_MUSCLE	MUSCLE_BAND
PLAQUE_TERRE	EARTH_PLATE
ELECTRISEUR	ELECTRIZER
ZINC	ZINC
NIVEAU_BALL	LEVEL_BALL
GROS_CHAMPI	BIG_MUSHROOM
BAIE_PECHA	PECHA_BERRY
MODULE_CHOC	LIGHTNING_CASSETTE
PLAQUE_VOLT	ZAP_PLATE
RALENTIQUEUE	LAGGING_TAIL
FOSSILE_PLAQUE	LID_FOSSIL
BAIE_MANGOU	MAGOST_BERRY
