PINCE_MASSE	CRABHAMMER
BOUCLIER	BARRIER
SEISME	EARTHQUAKE
CALCINATION	INCINERATE
FLEAU	FLAIL
FRAPPE_ATLAS	SEISMIC_TOSS
TRANCHE	SLASH
MUR_LUMIERE	LIGHT_SCREEN
LAIT_A_BOIRE	MILK_DRINK
SHEAURIKEN	WATER_SHURIKEN
STOCKAGE	STOCKPILE
BRUME_CAPITEUSE	AROMATIC_MIST
TACLE_LOURD	HEAVY_SLAM
BALAYAGE	LOW_KICK
PARTAGE_GARDE	GUARD_SPLIT
POING_COMETE	COMET_PUNCH
RAYON_CHARGE	CHARGE_BEAM
REGARD_TOUCHANT	BABY_DOLL_EYES
FROTTE_FRIMOUSSE	NUZZLE
COUP_VICTOIRE	V_CREATE
TUNNELIER	DRILL_RUN
POUDRE_DODO	SLEEP_POWDER
PICS_TOXIK	TOXIC_SPIKES
PRECIPICE_BLADES	PRECIPICE_BLADES
PICPIC	PECK
BOUTEFEU	FLARE_BLITZ
DANSE_FLEUR	PETAL_DANCE
PEIGNEE	HEAD_CHARGE
HYDROCANON	HYDRO_PUMP
TRIPLATTAQUE	TRI_ATTACK
BROUILLARD	SMOKESCREEN
ADAPTATION	CONVERSION
ZONE_MAGIQUE	MAGIC_ROOM
PILONNAGE	BARRAGE
HYDROBLAST	HYDRO_CANNON
REGARD_NOIR	MEAN_LOOK
HANTISE	PHANTOM_FORCE
PUREDPOIS	SMOG
RUNE_PROTECT	SAFEGUARD
TEMPETEVERTE	LEAF_STORM
LAME_OINTE	SECRET_SWORD
RETOUR	RETURN
DOUX_BAISER	SWEET_KISS
FRACASS_TETE	HEAD_SMASH
NUEE_DE_POUDRE	POWDER
ENTRAVE	DISABLE
FORCE_CACHEE	SECRET_POWER
AURORE	MORNING_SUN
REBONDIFEU	FLAME_BURST
BULLES_D_O	BUBBLEBEAM
BALAYETTE	LOW_SWEEP
STIMULANT	SMELLINGSALT
FEU_D_ENFER	INFERNO
CLOSE_COMBAT	CLOSE_COMBAT
DOUX_PARFUM	SWEET_SCENT
PARA_SPORE	STUN_SPORE
PAPILLODANSE	QUIVER_DANCE
HALLOWEEN	TRICK_OR_TREAT
LANCE_SOLEIL	SOLARBEAM
PLAIE_CROIX	X_SCISSOR
SPORE	SPORE
EFFORT	ENDEAVOR
DETECTION	DETECT
DOUBLE_DARD	TWINEEDLE
COUPE	CUT
AQUA_JET	AQUA_JET
CHUTE_GLACE	ICICLE_CRASH
OEIL_MIRACLE	MIRACLE_EYE
ATTERRISSAGE	ROOST
DOUBLE_BAFFE	DUAL_CHOP
ZONE_ETRANGE	WONDER_ROOM
CYCLONE	WHIRLWIND
DISTORSION	TRICK_ROOM
MAWASHI_GERI	ROLLING_KICK
CHARGEUR	CHARGE
COUP_DOUBLE	DOUBLE_HIT
VAMPIBAISER	DRAINING_KISS
OSMERANG	BONEMERANG
CARNAREKET	DOOM_DESIRE
APPEL_SOINS	HEAL_ORDER
SOUCIGRAINE	WORRY_SEED
TREMPETTE	SPLASH
GYROBALLE	GYRO_BALL
BLIZZARD	BLIZZARD
FRENESIE	RAGE
GRIFFE	SCRATCH
ROUE_DE_FEU	FLAME_WHEEL
DANSE_PLUIE	RAIN_DANCE
SIPHON	WHIRLPOOL
REPLI	WITHDRAW
LIRE_ESPRIT	MIND_READER
AURASPHERE	AURA_SPHERE
FURIE	FURY_ATTACK
CRU_AILE	WING_ATTACK
GEO_CONTROLE	GEOMANCY
GARDE_FLORALE	FLOWER_SHIELD
RUGISSEMENT	GROWL
VENGEANCE	RETALIATE
ASSURANCE	ASSURANCE
TRICHERIE	FOUL_PLAY
BOMBAIMANT	MAGNET_BOMB
TACLE_FEU	HEAT_CRASH
VIT_EXTREME	EXTREMESPEED
REFLET	DOUBLE_TEAM
SYNCHROPEINE	SYNCHRONOISE
FERTILISATION	ROTOTILLER
PAR_ICI	FOLLOW_ME
BOULE_ROC	ROCK_BLAST
ELECTACLE	VOLT_TACKLE
METRONOME	METRONOME
SURCHAUFFE	OVERHEAT
FEU_FOLLET	WILL_O_WISP
ORAGE_ADAMANTIN	DIAMOND_STORM
TENACITE	ENDURE
MARTO_POING	HAMMER_ARM
CONTRE	REVERSAL
REVENANT	SHADOW_FORCE
CROCS_GIVRE	ICE_FANG
FEU_GLACE	FREEZE_SHOCK
GRAVITE	GRAVITY
ATOUT	TRUMP_CARD
NITROCHARGE	FLAME_CHARGE
CONSTRICTION	CONSTRICT
DARD_VENIN	POISON_STING
DRAGON_ASCENT	DRAGON_ASCENT
DRACOCHOC	DRAGON_PULSE
MORPHING	TRANSFORM
TENEBRES	NIGHT_SHADE_2
POUDREUSE	POWDER_SNOW
PHYTOMIXEUR	LEAF_TORNADO
LILLIPUT	MINIMIZE
PIQUE	SKY_ATTACK
BLUFF	FAKE_OUT
REFLET_MAGIK	MAGIC_COAT
ATTRACTION	ATTRACT
COPIE_TYPE	REFLECT_TYPE
PASSE_PASSE	SWITCHEROO
FATAL_FOUDRE	THUNDER
LIGOTAGE	WRAP
COUP_D_MAIN	HELPING_HAND
E_COQUE	SOFTBOILED
MOI_D_ABORD	ME_FIRST
ECRASEMENT	STOMP
ETINCELLE	SPARK
BULLDOBOULE	STEAMROLLER
DANSE_DU_FEU	FIERY_DANCE
PIEGE_VENIN	VENOM_DRENCH
PISTOLET_A_O	WATER_GUN
BRUME	MIST
AIRE_DE_FEU	FIRE_PLEDGE
POLIROCHE	ROCK_POLISH
SUC_DIGESTIF	GASTRO_ACID
INCENDIE	SEARING_SHOT
LUTTE	STRUGGLE
CHATIMENT	HEX
ONDE_DE_CHOC	SHOCK_WAVE
PLONGEE	DIVE
TOXIK	TOXIC
COPIE	MIMIC
DETRITUS	SLUDGE
VIGILANCE	CRAFTY_SHIELD
MALEDICTION	CURSE
DRACO_RAGE	DRAGON_RAGE
FOUET_LIANES	VINE_WHIP
CAMOUFLAGE	CAMOUFLAGE
CHAMP_BRUMEUX	MISTY_TERRAIN
LARCIN	THIEF
BOMB_OEUF	EGG_BOMB
JET_DE_SABLE	SAND_ATTACK
GONFLETTE	BULK_UP
ULTIMAPOING	MEGA_PUNCH
BALL_GLACE	ICE_BALL
ERUCTATION	BELCH
LAME_FEUILLE	LEAF_BLADE
DARD_MORTEL	FELL_STINGER
VAMPIGRAINE	LEECH_SEED
TOILE	SPIDER_WEB
APRES_VOUS	AFTER_YOU
HURLE_TEMPS	ROAR_OF_TIME
TRANCH_AIR	AIR_CUTTER
DYNAMOPOING	DYNAMICPUNCH
ESCALADE	ROCK_CLIMB
BLABLA_DODO	SLEEP_TALK
CALINERIE	PLAY_ROUGH
DANSEFLAMME	FIRE_SPIN
RONFLEMENT	SNORE
BALL_METEO	WEATHER_BALL
MANIA	THRASH
DAMOCLES	DOUBLE_EDGE
PARESSE	SLACK_OFF
GLACIATION	SHEER_COLD
FEU_SACRE	SACRED_FIRE
QUEUE_DE_FER	IRON_TAIL
AVALE	SWALLOW
ACUPRESSION	ACUPRESSURE
SOIN	RECOVER
ATTRITION	CHIP_AWAY
EXPLONUIT	NIGHT_DAZE
CRADOVAGUE	SLUDGE_WAVE
BAIN_DE_SMOG	CLEAR_SMOG
VENT_MAUVAIS	OMINOUS_WIND
AMNESIE	AMNESIA
CORPS_PERDU	VITAL_THROW
MIROI_TIR	MIRROR_SHOT
DOUBLE_PIED	DOUBLE_KICK
YOGA	MEDITATE
SPORE_COTON	COTTON_SPORE
RAYON_SIGNAL	SIGNAL_BEAM
MALEFICE_SYLVAIN	FOREST_S_CURSE
POING_DARD	NEEDLE_ARM
PERMUGARDE	GUARD_SWAP
TRANCH_HERBE	RAZOR_LEAF
DANSE_DRACO	DRAGON_DANCE
CLONAGE	SUBSTITUTE
FRAPPE_PSY	PSYSTRIKE
TRANCHE_NUIT	NIGHT_SLASH
CHAMP_HERBU	GRASSY_TERRAIN
AIR_VEINARD	LUCKY_CHANT
ONDE_FOLIE	CONFUSE_RAY
REPRESAILLES	PAYBACK
VOL_MAGNETIK	MAGNET_RISE
FLAMME_BLEUE	BLUE_FLARE
CROCO_LARME	FAKE_TEARS
COUPE_PSYCHO	PSYCHO_CUT
FORTE_PAUME	FORCE_PALM
ABRI	PROTECT
DEMI_TOUR	U_TURN
ECRAS_FACE	POUND
SONICBOOM	SONICBOOM
POUDRE_FUREUR	RAGE_POWDER
VAMPIPOING	DRAIN_PUNCH
AFFUTAGE	SHARPEN
AIGUISAGE	HONE_CLAWS
AEROBLAST	AEROBLAST
TOURMAGIK	TRICK
AIKIDO	AIKIDO
VENT_GLACE	ICY_WIND
GAZ_TOXIK	POISON_GAS
LUMIQUEUE	TAIL_GLOW
HYDROQUEUE	AQUA_TAIL
STRIDO_SON	METAL_SOUND
BALL_BRUME	MIST_BALL
CHAMP_ELECTRIFIE	ELECTRIC_TERRAIN
PICORE	PLUCK
RAFALE_FEU	BLAST_BURN
ROULADE	ROLLOUT
RENGORGEMENT	WORK_UP
ORIGIN_PULSE	ORIGIN_PULSE
FLAIR	ODOR_SLEUTH
PICOTS	SPIKES
MAGNE_CONTROLE	MAGNETIC_FLUX
EXTRASENSEUR	EXTRASENSORY
MORT_AILES	OBLIVION_WING
TOUT_OU_RIEN	FINAL_GAMBIT
DERNIER_MOT	PARTING_SHOT
POING_DE_FEU	FIRE_PUNCH
AIRE_D_EAU	WATER_PLEDGE
BUEE_NOIRE	HAZE
HYPNOSE	HYPNOSIS
QUEUE_POISON	POISON_TAIL
GRIFFE_ACIER	METAL_CLAW
LAME_SAINTE	SACRED_SWORD
TROU_NOIR	DARK_VOID
PIQURE	BUG_BITE
PIEGE_DE_ROC	STEALTH_ROCK
PARABOCHARGE	PARABOLIC_CHARGE
CHARGE_OS	BONE_RUSH
REGENERATION	REFRESH
LAME_D_AIR	AIR_SLASH
EXUVIATION	SHELL_SMASH
CADEAU	PRESENT
SYNTHESE	SYNTHESIS
CROCS_FEU	FIRE_FANG
PSYCHO_BOOST	PSYCHO_BOOST
PIED_VOLTIGE	HI_JUMP_KICK
ABOIEMENT	SNARL
ACIDARMURE	ACID_ARMOR
ECLAT_MAGIQUE	DAZZLING_GLEAM
TEMPETE_FLORALE	PETAL_BLIZZARD
GRONDEMENT	HOWL
BEC_VRILLE	DRILL_PECK
GRINCEMENT	SCREECH
POING_KARATE	KARATE_CHOP
FACADE	FACADE
COLERE	OUTRAGE
STALAGTITE	ICICLE_SPEAR
SURVINSECTE	STRUGGLE_BUG
OMBRE_NOCTURNE	NIGHT_SHADE
FORCE_COSMIK	COSMIC_POWER
SIFFL_HERBE	GRASSWHISTLE
VIVE_ATTAQUE	QUICK_ATTACK
CASSE_BRIQUE	BRICK_BREAK
OMBRE_PORTEE	SHADOW_SNEAK
ECLATE_ROC	ROCK_SMASH
ONDE_BOREALE	AURORA_BEAM
OURAGAN	TWISTER
BOUCLIER_ROYAL	KING_S_SHIELD
GICLEDO	WATER_SPOUT
DRACO_QUEUE	DRAGON_TAIL
SOUFFLE_GLACE	FROST_BREATH
NOEUD_HERBE	GRASS_KNOT
TELEPORT	TELEPORT
PASSE_CADEAU	BESTOW
FLYING_PRESS	FLYING_PRESS
ETREINTE	BIND
COTOGARDE	COTTON_GUARD
CREVECOEUR	HEART_STAMP
DERNIERECOUR	LAST_RESORT
VEGE_ATTAK	FRENZY_PLANT
BELIER	TAKE_DOWN
POUV_ANTIQUE	ANCIENTPOWER
REVEIL_FORCE	WAKE_UP_SLAP
LANCE_FLAMME	FLAMETHROWER
VOL_VIE	ABSORB
DEFLAGRATION	FIRE_BLAST
MEGAPHONE	HYPER_VOICE
COGNOBIDON	BELLY_DRUM
COMBO_GRIFFE	FURY_SWIPES
TETE_DE_FER	IRON_HEAD
SABOTAGE	KNOCK_OFF
MALEDICTION_1	CURSE_1
CLAQUOIR	CLAMP
PIED_BRULEUR	BLAZE_KICK
MACHINATION	NASTY_PLOT
MALEDICTION_2	CURSE_2
MEGA_SANGSUE	MEGA_DRAIN
EBULLILAVE	LAVA_PLUME
COGNE	ARM_THRUST
VAGUE_PSY	PSYWAVE
LANCE_BOUE	MUD_SPORT
IMPLORE	COVET
VAMPIRISME	LEECH_LIFE
LECHOUILLE	LICK
CROCHETVENIN	POISON_FANG
BANG_SONIQUE	BOOMBURST
VERROU_ENCHANTE	FAIRY_LOCK
JACKPOT	PAY_DAY
PARTAGE_FORCE	POWER_SPLIT
CHUTE_LIBRE	SKY_DROP
BARRAGE	BLOCK
DON_NATUREL	NATURAL_GIFT
TOILE_GLUANTE	STICKY_WEB
HARCELEMENT	INFESTATION
FRUSTRATION	FRUSTRATION
RAPACE	BRAVE_BIRD
ENCORE	ENCORE
PIED_SAUTE	JUMP_KICK
ARMURE	HARDEN
COUP_CROIX	CROSS_CHOP
CROCS_ECLAIR	THUNDER_FANG
JUGEMENT	JUDGMENT
KOUD_KORNE	HORN_ATTACK
PICO_DEFENSE	SPIKY_SHIELD
ZENITH	SUNNY_DAY
DRACO_METEOR	DRACO_METEOR
ULTRASON	SUPERSONIC
ECHANGE_PSY	PSYCHO_SHIFT
TOURBI_SABLE	SAND_TOMB
ESSORAGE	WRING_OUT
PROVOC	TAUNT
EXPLOFORCE	FOCUS_BLAST
TONNERRE	THUNDERBOLT
TORNADE	GUST
BOMB_BEURK	SLUDGE_BOMB
TUNNEL	DIG
RAFALE_PSY	PSYBEAM
MIMIQUE	MIRROR_MOVE
DRACOCHARGE	DRAGON_RUSH
BALANCE	PAIN_SPLIT
BROUHAHA	UPROAR
ECHO	ECHOED_VOICE
JET_PIERRES	ROCK_THROW
FAUX_CHAGE	FALSE_SWIPE
CHARGE	TACKLE
SEDUCTION	CAPTIVATE
EMPAL_KORNE	HORN_DRILL
GROZ_YEUX	LEER
VOIX_ENJOLEUSE	DISARMING_VOICE
ETONNEMENT	ASTONISH
POUDREFUREUR	RAGE_POWDER_2
ENVOL	FLY
DANSE_FOLLE	TEETER_DANCE
MARTOBOIS	WOOD_HAMMER
PUISSANCE	FOCUS_ENERGY
SOUVENIR	MEMENTO
PROJECTION	CIRCLE_THROW
COQUILAME	RAZOR_SHELL
CONFIDENCE	CONFIDE
RECYCLAGE	RECYCLE
GIGA_IMPACT	GIGA_IMPACT
CHARGE_FOUDRE	BOLT_STRIKE
GUILLOTINE	GUILLOTINE
RELACHE	SPIT_UP
AROMATHERAPI	AROMATHERAPY
GRIFFE_OMBRE	SHADOW_CLAW
VERROUILLAGE	LOCK_ON
ECLAIR_GELE	ICE_BURN
ONDE_VIDE	VACUUM_WAVE
SAISIE	SNATCH
RALE_MALE	NOBLE_ROAR
RANCUNE	GRUDGE
EBOULEMENT	ROCK_SLIDE
SURPUISSANCE	SUPERPOWER
SECRETION	STRING_SHOT
VIBRA_SOIN	HEAL_PULSE
PHOTOCOPIE	COPYCAT
EXCUSE	APOLOGIZE
CASCADE	WATERFALL
OCTAZOOKA	OCTAZOOKA
PUNITION	PUNISHMENT
DIRECT_TOXIK	POISON_JAB
FLASH	FLASH
PIETISOL	BULLDOZE
HURLEMENT	ROAR
ANTI_AIR	SMACK_DOWN
RELAIS	BATON_PASS
LUMINOCANON	FLASH_CANNON
FORCE_NATURE	NATURE_POWER
ERE_GLACIAIRE	GLACIATE
SACRIFICE	SUBMISSION
CHARME	CHARM
VENDETTA	REVENGE
POING_METEOR	METEOR_MASH
ECUME	BUBBLE
ACROBATIE	ACROBATICS
PROTECTION	REFLECT
PICANON	SPIKE_CANNON
BABIL	CHATTER
DETRICANON	GUNK_SHOT
YAMA_ARASHI	STORM_THROW
ENROULEMENT	COIL
FORCE_AJOUTEE	STORED_POWER
LUMI_ECLAT	LUSTER_PURGE
GRELE	HAIL
CHATOUILLE	TICKLE
CLAIRVOYANCE	FORESIGHT
FORCE_POIGNE	VICEGRIP
PATIENCE	BIDE
TOMBEROCHE	ROCK_TOMB
COUP_BAS	SUCKER_PUNCH
CAMARADERIE	PLAY_NICE
APPEL_ATTAK	ATTACK_ORDER
POINGLACE	ICE_PUNCH
POING_BOOST	POWER_UP_PUNCH
CANON_GRAINE	SEED_BOMB
VORTEX_MAGMA	MAGMA_STORM
TORGNOLES	DOUBLESLAP
GIGA_SANGSUE	GIGA_DRAIN
PLUMO_QUEUE	TAIL_SLAP
TELEKINESIE	KINESIS
FEINTE	FAINT_ATTACK
CAGE_ECLAIR	THUNDER_WAVE
CANICULE	HEAT_WAVE
JET_DE_VAPEUR	STEAM_ERUPTION
EMBARGO	EMBARGO
RIPOSTE	COUNTER
ASTUCE_FORCE	POWER_TRICK
PLAQUAGE	BODY_SLAM
ANTI_BRUME	DEFOG
AILE_D_ACIER	STEEL_WING
AIRE_D_HERBE	GRASS_PLEDGE
MIMI_QUEUE	TAIL_WHIP
CHANGE_ECLAIR	VOLT_SWITCH
ECLATS_GLACE	ICE_SHARD
DRACOGRIFFE	DRAGON_CLAW
VOEU	WISH
TATAMIGAESHI	MAT_BLOCK
POISON_CROIX	CROSS_POISON
ENCORNEBOIS	HORN_LEECH
MASSD_OS	BONE_CLUB
COUP_D_BOULE	HEADBUTT
GRIBOUILLE	SKETCH
VENT_ARGENTE	SILVER_WIND
MACHOUILLE	CRUNCH
A_LA_QUEUE	QUASH
FEUILLEMAGIK	MAGICAL_LEAF
ULTRALASER	HYPER_BEAM
ECLAIR	THUNDERSHOCK
FLATTERIE	FLATTER
CHGT_VITESSE	SHIFT_GEAR
DEPIT	SPITE
POUVOIR_LUNAIRE	MOONBLAST
GRIMACE	SCARY_FACE
ECO_SPHERE	ENERGY_BALL
BALLE_GRAINE	BULLET_SEED
LASER_GLACE	ICE_BEAM
DETREMPAGE	SOAK
DARD_NUEE	PIN_MISSILE
CHOC_PSY	PSYSHOCK
LIGHT_OF_RUIN	LIGHT_OF_RUIN
RAYON_GEMME	POWER_GEM
POSSESSIF	IMPRISON
TOILE_ELEK	ELECTROWEB
LAME_DE_ROC	STONE_EDGE
VOEU_SOIN	HEALING_WISH
CROC_DE_MORT	HYPER_FANG
VIBRAQUA	WATER_PULSE
TAILLADE	FURY_CUTTER
ULTIMAWASHI	MEGA_KICK
POING_OMBRE	SHADOW_PUNCH
DRACOSOUFFLE	DRAGONBREATH
ASSISTANCE	ASSIST
INTIMIDATION	INTIMIDATE
LEVIKINESIE	TELEKINESIS
ERUPTION	ERUPTION
AEROPIQUE	AERIAL_ACE
HYPERSPACE_FURY	HYPERSPACE_FURY
TOURMENTE	TORMENT
OCROUPI	MUDDY_WATER
CHOC_VENIN	VENOSHOCK
REBOND	BOUNCE
PLENITUDE	CALM_MIND
PUIS_CACHEE	HIDDEN_POWER
CAUCHEMAR	NIGHTMARE
TEMPETESABLE	SANDSTORM
COUP_D_JUS	DISCHARGE
RENVERSEMENT	TOPSY_TURVY
PERMUFORCE	POWER_SWAP
ECHANGE	SKILL_SWAP
PRLVT_DESTIN	DESTINY_BOND
CHANT_ANTIQUE	RELIC_SONG
FORCE_CHTONIENNE	LAND_S_WRATH
METEORES	SWIFT
HATE	AGILITY
FLAMME_CROIX	FUSION_FLARE
UPPERCUT	DIZZY_PUNCH
MITRA_POING	FOCUS_PUNCH
PREVENTION	QUICK_GUARD
VENT_FEERIQUE	FAIRY_WIND
SOUPLESSE	SLAM
